disorder_group,ICD10_Code,description,flag
Suicide or Self-Injury,T46.1X2A,"Poisoning by calcium-channel blockers, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.1X2S,"Poisoning by calcium-channel blockers, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.2X2A,"Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.2X2S,"Poisoning by other antidysrhythmic drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.3X2A,"Poisoning by coronary vasodilators, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.3X2S,"Poisoning by coronary vasodilators, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.4X2A,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.4X2S,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.5X2A,"Poisoning by other antihypertensive drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.5X2S,"Poisoning by other antihypertensive drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.6X2A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.6X2S,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.7X2A,"Poisoning by peripheral vasodilators, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.7X2S,"Poisoning by peripheral vasodilators, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.8X2A,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.8X2S,"Poisoning by antivaricose drugs, including sclerosing agents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.902A,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.902S,"Poisoning by unspecified agents primarily affecting the cardiovascular system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T46.992A,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T46.992S,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.0X2A,"Poisoning by histamine H2-receptor blockers, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.0X2S,"Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.1X2A,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.1X2S,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.2X2A,"Poisoning by stimulant laxatives, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.2X2S,"Poisoning by stimulant laxatives, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.3X2A,"Poisoning by saline and osmotic laxatives, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.3X2S,"Poisoning by saline and osmotic laxatives, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.4X2A,"Poisoning by other laxatives, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.4X2S,"Poisoning by other laxatives, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.5X2A,"Poisoning by digestants, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.5X2S,"Poisoning by digestants, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.6X2A,"Poisoning by antidiarrheal drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.6X2S,"Poisoning by antidiarrheal drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.7X2A,"Poisoning by emetics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.7X2S,"Poisoning by emetics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.8X2A,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.8X2S,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T47.92XA,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T47.92XS,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.0X2A,"Poisoning by oxytocic drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.0X2S,"Poisoning by oxytocic drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.1X2A,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.1X2S,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.202A,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.202S,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.292A,"Poisoning by other drugs acting on muscles, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.292S,"Poisoning by other drugs acting on muscles, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.3X2A,"Poisoning by antitussives, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.3X2S,"Poisoning by antitussives, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.4X2A,"Poisoning by expectorants, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.4X2S,"Poisoning by expectorants, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.5X2A,"Poisoning by other anti-common-cold drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.5X2S,"Poisoning by other anti-common-cold drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.6X2A,"Poisoning by antiasthmatics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.6X2S,"Poisoning by antiasthmatics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.902A,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.902S,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T48.992A,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T48.992S,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.0X2A,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.0X2S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.1X2A,"Poisoning by antipruritics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.1X2S,"Poisoning by antipruritics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.2X2A,"Poisoning by local astringents and local detergents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.2X2S,"Poisoning by local astringents and local detergents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.3X2A,"Poisoning by emollients, demulcents and protectants, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.3X2S,"Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.4X2A,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.4X2S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.5X2A,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.5X2S,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.6X2A,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.6X2S,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.7X2A,"Poisoning by dental drugs, topically applied, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.7X2S,"Poisoning by dental drugs, topically applied, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.8X2A,"Poisoning by other topical agents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.8X2S,"Poisoning by other topical agents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T49.92XA,"Poisoning by unspecified topical agent, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T49.92XS,"Poisoning by unspecified topical agent, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.0X2A,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.0X2S,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.1X2A,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.1X2S,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.2X2A,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.2X2S,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.3X2A,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.3X2S,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.4X2A,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.4X2S,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.5X2A,"Poisoning by appetite depressants, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.5X2S,"Poisoning by appetite depressants, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.6X2A,"Poisoning by antidotes and chelating agents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.6X2S,"Poisoning by antidotes and chelating agents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.7X2A,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.7X2S,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.8X2A,"Poisoning by diagnostic agents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.8X2S,"Poisoning by diagnostic agents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.902A,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.902S,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.912A,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.912S,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.992A,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.992S,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.A12A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.A12S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.A22A,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.A92A,"Poisoning by other bacterial vaccines, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.A92S,"Poisoning by other bacterial vaccines, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.B12A,"Poisoning by smallpox vaccines, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.B12S,"Poisoning by smallpox vaccines, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.B92A,"Poisoning by other viral vaccines, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.B92S,"Poisoning by other viral vaccines, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.Z12A,"Poisoning by immunoglobulin, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.Z12S,"Poisoning by immunoglobulin, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T50.Z92A,"Poisoning by other vaccines and biological substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T50.Z92S,"Poisoning by other vaccines and biological substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.0X2A,"Toxic effect of ethanol, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.0X2S,"Toxic effect of ethanol, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.1X2A,"Toxic effect of methanol, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.1X2S,"Toxic effect of methanol, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.2X2A,"Toxic effect of 2-Propanol, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.2X2S,"Toxic effect of 2-Propanol, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.3X2A,"Toxic effect of fusel oil, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.3X2S,"Toxic effect of fusel oil, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.8X2A,"Toxic effect of other alcohols, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.8X2S,"Toxic effect of other alcohols, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T51.92XA,"Toxic effect of unspecified alcohol, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T51.92XS,"Toxic effect of unspecified alcohol, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.0X2A,"Toxic effect of petroleum products, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.0X2S,"Toxic effect of petroleum products, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.1X2A,"Toxic effect of benzene, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.1X2S,"Toxic effect of benzene, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.2X2A,"Toxic effect of homologues of benzene, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.2X2S,"Toxic effect of homologues of benzene, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.3X2A,"Toxic effect of glycols, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.3X2S,"Toxic effect of glycols, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.4X2A,"Toxic effect of ketones, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.4X2S,"Toxic effect of ketones, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.8X2A,"Toxic effect of other organic solvents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.8X2S,"Toxic effect of other organic solvents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T52.92XA,"Toxic effect of unspecified organic solvent, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T52.92XS,"Toxic effect of unspecified organic solvent, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.0X2A,"Toxic effect of carbon tetrachloride, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.0X2S,"Toxic effect of carbon tetrachloride, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.1X2A,"Toxic effect of chloroform, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.1X2S,"Toxic effect of chloroform, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.2X2A,"Toxic effect of trichloroethylene, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.2X2S,"Toxic effect of trichloroethylene, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.3X2A,"Toxic effect of tetrachloroethylene, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.3X2S,"Toxic effect of tetrachloroethylene, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.4X2A,"Toxic effect of dichloromethane, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.4X2S,"Toxic effect of dichloromethane, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.5X2A,"Toxic effect of chlorofluorocarbons, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.5X2S,"Toxic effect of chlorofluorocarbons, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.6X2A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.6X2S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.7X2A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.7X2S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T53.92XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T53.92XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T54.0X2A,"Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T54.0X2S,"Toxic effect of phenol and phenol homologues, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T54.1X2A,"Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T54.1X2S,"Toxic effect of other corrosive organic compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T54.2X2A,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T54.2X2S,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T54.3X2A,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T54.3X2S,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T54.92XA,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T54.92XS,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T55.0X2A,"Toxic effect of soaps, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T55.0X2S,"Toxic effect of soaps, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T55.1X2A,"Toxic effect of detergents, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T55.1X2S,"Toxic effect of detergents, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.0X2A,"Toxic effect of lead and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.0X2S,"Toxic effect of lead and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.1X2A,"Toxic effect of mercury and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.1X2S,"Toxic effect of mercury and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.2X2A,"Toxic effect of chromium and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.2X2S,"Toxic effect of chromium and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.3X2A,"Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.3X2S,"Toxic effect of cadmium and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.4X2A,"Toxic effect of copper and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.4X2S,"Toxic effect of copper and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.5X2A,"Toxic effect of zinc and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.5X2S,"Toxic effect of zinc and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.6X2A,"Toxic effect of tin and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.6X2S,"Toxic effect of tin and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.7X2A,"Toxic effect of beryllium and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.7X2S,"Toxic effect of beryllium and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.812A,"Toxic effect of thallium, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.812S,"Toxic effect of thallium, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.892A,"Toxic effect of other metals, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.892S,"Toxic effect of other metals, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T56.92XA,"Toxic effect of unspecified metal, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T56.92XS,"Toxic effect of unspecified metal, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.0X2A,"Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.0X2S,"Toxic effect of arsenic and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.1X2A,"Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.1X2S,"Toxic effect of phosphorus and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.2X2A,"Toxic effect of manganese and its compounds, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.2X2S,"Toxic effect of manganese and its compounds, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.3X2A,"Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.3X2S,"Toxic effect of hydrogen cyanide, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.8X2A,"Toxic effect of other specified inorganic substances, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.8X2S,"Toxic effect of other specified inorganic substances, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T57.92XA,"Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T57.92XS,"Toxic effect of unspecified inorganic substance, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T58.02XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T58.02XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T58.12XA,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T58.2X2A,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T58.2X2S,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T58.8X2A,"Toxic effect of carbon monoxide from other source, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T58.8X2S,"Toxic effect of carbon monoxide from other source, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T58.92XA,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T58.92XS,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.0X2A,"Toxic effect of nitrogen oxides, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.0X2S,"Toxic effect of nitrogen oxides, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.1X2A,"Toxic effect of sulfur dioxide, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.1X2S,"Toxic effect of sulfur dioxide, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.2X2A,"Toxic effect of formaldehyde, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.2X2S,"Toxic effect of formaldehyde, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.3X2A,"Toxic effect of lacrimogenic gas, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.3X2S,"Toxic effect of lacrimogenic gas, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.4X2A,"Toxic effect of chlorine gas, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.4X2S,"Toxic effect of chlorine gas, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.5X2A,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.5X2S,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.6X2A,"Toxic effect of hydrogen sulfide, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.6X2S,"Toxic effect of hydrogen sulfide, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.7X2A,"Toxic effect of carbon dioxide, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.7X2S,"Toxic effect of carbon dioxide, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.812A,"Toxic effect of smoke, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.812S,"Toxic effect of smoke, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.892A,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.892S,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela",originalCodes
Suicide or Self-Injury,T59.92XA,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, initial encounter",originalCodes
Suicide or Self-Injury,T59.92XS,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, sequela",originalCodes
